latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
33.30529,70.31361,325.35,0.41,0.37,2026-01-03,0830,N20,VIIRS,n,2.0NRT,295.03,3.31,D
31.93546,70.90786,335.94,0.41,0.37,2026-01-03,0830,N20,VIIRS,n,2.0NRT,293.63,4.68,D
32.05492,71.30369,329.42,0.43,0.38,2026-01-03,0830,N20,VIIRS,n,2.0NRT,292.36,4.22,D
31.7038,70.8732,327.12,0.41,0.37,2026-01-03,0830,N20,VIIRS,n,2.0NRT,293.38,3.67,D
32.07298,71.02319,327.55,0.42,0.38,2026-01-03,0830,N20,VIIRS,n,2.0NRT,292.76,3.15,D
33.76247,71.23799,325.82,0.44,0.38,2026-01-03,0830,N20,VIIRS,n,2.0NRT,287.98,1.64,D
32.03151,70.30988,333.48,0.4,0.37,2026-01-03,0830,N20,VIIRS,n,2.0NRT,295.68,3.06,D
25.32975,68.9898,295.92,0.44,0.39,2026-01-03,2053,N20,VIIRS,n,2.0NRT,282.72,0.21,N
25.38766,68.58326,303.72,0.46,0.39,2026-01-03,2053,N20,VIIRS,n,2.0NRT,283.81,1.19,N
25.13948,66.90974,301.31,0.55,0.43,2026-01-03,2053,N20,VIIRS,n,2.0NRT,288.92,0.95,N
25.05354,67.494,304.03,0.51,0.41,2026-01-03,2053,N20,VIIRS,n,2.0NRT,288.9,1.4,N
24.99342,66.93028,303.73,0.55,0.43,2026-01-03,2053,N20,VIIRS,n,2.0NRT,284.93,0.84,N
33.54766,71.5495,301.47,0.42,0.38,2026-01-03,2053,N20,VIIRS,n,2.0NRT,281.77,1.24,N
33.27377,71.59095,319.01,0.42,0.38,2026-01-03,2053,N20,VIIRS,n,2.0NRT,281,1.51,N
32.29308,70.73077,300.11,0.44,0.38,2026-01-03,2053,N20,VIIRS,n,2.0NRT,283.47,1.1,N
